ID,Title,Description,genre,aired,episodes,members,popularity,ranked,score,img_url,link
1,Cowboy Bebop,"In the year 2071, humanity has colonized several of the planets and moons of the solar system leaving the now uninhabitable surface of planet Earth behind. The Inter Solar System Police attempts to keep peace in the galaxy, aided in part by outlaw bounty hunters, referred to as ""Cowboys."" The ragtag team aboard the spaceship Bebop are two such individuals. 
  
Mellow and carefree Spike Spiegel is balanced by his boisterous, pragmatic partner Jet Black as the pair makes a living chasing bounties and collecting rewards. Thrown off course by the addition of new members that they meet in their travels—Ein, a genetically engineered, highly intelligent Welsh Corgi; femme fatale Faye Valentine, an enigmatic trickster with memory loss; and the strange computer whiz kid Edward Wong—the crew embarks on thrilling adventures that unravel each member's dark and mysterious past little by little. 
 
Well-balanced with high density action and light-hearted comedy,  Cowboy Bebop  is a space Western classic and an homage to the smooth and improvised music it is named after. 
 
[Written by MAL Rewrite]","['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']","Apr 3, 1998 to Apr 24, 1999",26,930311,39,26,8.81,https://cdn.myanimelist.net/images/anime/4/19644.jpg,https://myanimelist.net/anime/1/Cowboy_Bebop
5,Cowboy Bebop: Tengoku no Tobira,"Another day, another bounty—such is the life of the often unlucky crew of the Bebop. However, this routine is interrupted when Faye, who is chasing a fairly worthless target on Mars, witnesses an oil tanker suddenly explode, causing mass hysteria. As casualties mount due to a strange disease spreading through the smoke from the blast, a whopping three hundred million woolong price is placed on the head of the supposed perpetrator. 
 
With lives at stake and a solution to their money problems in sight, the Bebop crew springs into action. Spike, Jet, Faye, and Edward, followed closely by Ein, split up to pursue different leads across Alba City. Through their individual investigations, they discover a cover-up scheme involving a pharmaceutical company, revealing a plot that reaches much further than the ragtag team of bounty hunters could have realized. 
 
[Written by MAL Rewrite]","['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']","Sep 1, 2001",1,223199,475,149,8.4,https://cdn.myanimelist.net/images/anime/1439/93480.jpg,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira
6,Trigun,"Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs. 
 
With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point. 
 
[Written by MAL Rewrite]","['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']","Apr 1, 1998 to Sep 30, 1998",26,460146,158,256,8.28,https://cdn.myanimelist.net/images/anime/7/20310.jpg,https://myanimelist.net/anime/6/Trigun
7,Witch Hunter Robin,"Witches are individuals with special powers like ESP, telekinesis, mind control, etc. Robin, a 15-year-old craft user, arrives from Italy to Japan to work for an organization named STN Japan Division (STN-J) as a replacement for one of STN-J's witch hunters who was recently killed. Unlike other divisions of STN, STN-J tries to capture the witches alive in order to learn why and how they became witches in the first place. 
 
(Source: ANN)","['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']","Jul 2, 2002 to Dec 24, 2002",26,85182,1278,2487,7.32,https://cdn.myanimelist.net/images/anime/1796/91065.jpg,https://myanimelist.net/anime/7/Witch_Hunter_Robin
8,Bouken Ou Beet,"It is the dark century and the people are suffering under the rule of the devil, Vandel, who is able to manipulate monsters. The Vandel Busters are a group of people who hunt these devils, and among them, the Zenon Squad is known to be the strongest busters on the continent. A young boy, Beet, dreams of joining the Zenon Squad. However, one day, as a result of Beet's fault, the Zenon squad was defeated by the devil, Beltose. The five dying busters sacrificed their life power into their five weapons, Saiga. After giving their weapons to Beet, they passed away. Years have passed since then and the young Vandel Buster, Beet, begins his adventure to carry out the Zenon Squad's will to put an end to the dark century. ","['Adventure', 'Fantasy', 'Shounen', 'Supernatural']","Sep 30, 2004 to Sep 29, 2005",52,12319,3968,3704,7.02,https://cdn.myanimelist.net/images/anime/7/21569.jpg,https://myanimelist.net/anime/8/Bouken_Ou_Beet
15,Eyeshield 21,"Sena is like any other shy kid starting high school; he's just trying to survive. Constantly bullied, he's accustomed to running away. 
 
Surviving high school is about to become a lot more difficult after Hiruma, captain of the school's American football team, witnesses Sena's incredible agility and speed during an escape from some bullies. Hiruma schemes to make Sena the running back of his school team, The Devil Bats, hoping that it will turn around the squad's fortunes from being the laughingstock of Japan's high school leagues, to title contender. 
 
To protect his precious star player from rivaling recruiters, he enlists Sena as ""team secretary,"" giving him a visored helmet and the nickname ""Eyeshield 21"" to hide his identity. 
 
The Devilbats will look to make their way to the Christmas Bowl, an annual tournament attended by the best football teams in Japan, with ""Eyeshield 21"" leading the way. Will they be able to win the Christmas Bowl? Will Sena be able to transform from a timid, undersized freshman to an all-star player? Put on your pads and helmet to find out!","['Action', 'Sports', 'Comedy', 'Shounen']","Apr 6, 2005 to Mar 19, 2008",145,126760,888,542,8.02,https://cdn.myanimelist.net/images/anime/12/66961.jpg,https://myanimelist.net/anime/15/Eyeshield_21
16,Hachimitsu to Clover,"Yuuta, Takumi, and Shinobu share a six-tatami room apartment with no bath. The rent is low and it's perfect for poor college students such as themselves. Shinobu is a mysterious, quirky person, who does things on a whim. Takumi is passionate both in work and love, and Yuuta is a simple person with simple dreams and desires. That is, until he meets Hagumi, a petite girl with enormous amount of talent. Hagumi is fondly called Hagu by Shuuji, who serves as Hagu's guardian. Hagu meets Ayumi, nicknamed Ayu, and they become close friends almost instantly. Meanwhile, Ayu falls for one of the boys... 
 
The joys of falling in love, the pain of letting go, discovering one's self, and finding the courage to move on—these are some of the things that the characters in  Hachimitsu to Clover  experience as they take part in the play staged by fate.","['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']","Apr 15, 2005 to Sep 27, 2005",24,186696,578,436,8.11,https://cdn.myanimelist.net/images/anime/11/73923.jpg,https://myanimelist.net/anime/16/Hachimitsu_to_Clover
17,Hungry Heart: Wild Striker,"Kyosuke Kano has lived under the shadow of his successful brother Seisuke all his life who is a professional soccer player. Tired of being compared and downgraded at, he abandoned playing soccer until a boy from his new highschool discovered him and asked him to join their team. Kyosuke joins it and befriends two other first year players named Rodrigo and Sakai with the dream of becoming professional soccer players themselves. 
 
(Source: ANN) ","['Slice of Life', 'Comedy', 'Sports', 'Shounen']","Sep 11, 2002 to Sep 10, 2003",52,18370,3330,1273,7.65,https://cdn.myanimelist.net/images/anime/12/49655.jpg,https://myanimelist.net/anime/17/Hungry_Heart__Wild_Striker
18,Initial D Fourth Stage,"Takumi Fujiwara and brothers Keisuke and Ryousuke Takahashi have formed ""Project D,"" a racing team aimed at bringing their driving skills to their full potential outside their prefecture. Using the internet, Project D issues challenges to other racing teams and posts results of their races. Managed by Ryousuke, the team has Takumi engaging in downhill battles with his AE86, while Keisuke challenges opponents uphill. Among their rivals are the Seven-Star Leaf (SSR) and Todo-juku.","['Action', 'Cars', 'Sports', 'Drama', 'Seinen']","Apr 17, 2004 to Feb 18, 2006",24,87746,1228,336,8.18,https://cdn.myanimelist.net/images/anime/12/43927.jpg,https://myanimelist.net/anime/18/Initial_D_Fourth_Stage
19,Monster,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience. 
 
So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. With no evidence to convict him, he is released and goes on to attain the position of hospital director.  
 
Nine years later when Dr. Tenma saves the life of a criminal, his past comes back to haunt him—once again, he comes face to face with the monster he operated on. He must now embark on a quest of pursuit to make amends for the havoc spread by the one he saved. 
 
[Written by MAL Rewrite]","['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']","Apr 7, 2004 to Sep 28, 2005",74,459710,159,46,8.69,https://cdn.myanimelist.net/images/anime/10/18793.jpg,https://myanimelist.net/anime/19/Monster
